ms_subclass,lot_frontage,lot_area,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,roof_style,mas_vnr_area,exter_qual,foundation,central_air,bedroom_abvgr,kitchen,kitchen_qual,garage_cars,garage_cond,paved_drive,yr_sold,saleprice,total_bath,total_sf,porch_sf,has_porch,has_2fl,has_fireplace,has_extrms
120,40.0,5664,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,Gable,0.0,Gd,PConc,Y,2,1,Ex,2.0,TA,Y,2009,278000,3.0,3160.0,271,1,0,0,1
60,103.0,12867,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,Gable,0.0,Gd,PConc,Y,3,1,Ex,2.0,TA,Y,2006,344133,2.5,3462.0,385,1,1,0,1
20,69.0,7980,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2010,185000,3.0,2355.0,504,1,0,0,1
190,100.0,34650,Reg,Bnk,Inside,Gtl,Gilbert,Norm,2fmCon,1Story,Hip,0.0,TA,CBlock,N,3,1,TA,2.0,TA,Y,2006,145000,2.0,2112.0,264,1,0,0,0
20,92.0,10573,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,3.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2009,187500,3.0,2906.0,337,1,0,0,1
20,65.0,8450,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2010,138500,2.0,1788.0,560,1,0,0,0
50,69.0,11700,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,1.5Fin,Gable,0.0,TA,CBlock,Y,4,1,Gd,1.0,TA,Y,2008,198000,2.0,2880.0,40,1,1,0,1
190,75.0,8250,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,2fmCon,2Story,Gable,0.0,TA,CBlock,N,4,2,TA,0.0,TA,N,2007,119600,2.0,2948.0,133,1,1,0,1
50,60.0,8064,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,Gable,0.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2007,122900,1.0,1596.0,0,0,1,0,1
20,80.0,9600,Reg,Lvl,Inside,Gtl,NWAmes,PosN,1Fam,1Story,Hip,0.0,Gd,PConc,Y,4,1,Gd,2.0,TA,Y,2009,278000,3.5,5048.0,594,1,0,0,1
70,69.0,11435,IR1,HLS,Corner,Mod,Crawfor,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,Gd,2.0,TA,Y,2006,230000,1.0,2309.0,0,0,1,1,1
120,30.0,9549,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,Hip,0.0,Gd,PConc,Y,2,1,Ex,2.0,TA,Y,2006,270000,2.5,2988.0,246,1,0,0,1
20,60.0,10950,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,2,1,TA,2.0,TA,N,2007,125000,1.0,1896.0,48,1,0,0,1
20,79.0,10637,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Hip,336.0,Gd,PConc,Y,3,1,Gd,3.0,TA,Y,2009,297000,3.0,3423.0,252,1,0,0,1
20,80.0,9000,IR1,HLS,Inside,Mod,NAmes,Norm,1Fam,1Story,Flat,82.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2009,113500,1.0,1302.0,92,1,0,0,1
160,41.0,2665,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,2Story,Gable,0.0,TA,PConc,Y,4,1,TA,1.0,TA,Y,2006,127000,2.0,2232.0,130,1,1,0,0
20,105.0,11751,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Hip,480.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2010,190000,2.0,3688.0,122,1,0,0,1
20,80.0,9600,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Hip,320.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2007,175500,1.5,2484.0,0,0,0,0,1
20,60.0,8428,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,0.0,TA,PConc,Y,3,1,TA,1.0,TA,Y,2007,146000,2.0,1980.0,256,1,0,0,0
20,75.0,9937,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,0.0,Gd,CBlock,Y,3,1,TA,1.0,TA,Y,2008,147500,2.5,2512.0,804,1,0,0,1
20,107.0,13891,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,Gable,0.0,Ex,PConc,Y,2,1,Ex,3.0,TA,Y,2006,465000,3.5,4152.0,445,1,0,0,1
85,69.0,9101,IR1,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,SFoyer,Gable,104.0,TA,PConc,Y,1,1,Gd,2.0,TA,Y,2009,165500,2.0,2207.0,333,1,0,0,1
50,81.0,12150,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,Gable,335.0,TA,BrkTil,N,4,1,TA,1.0,TA,Y,2008,131500,2.0,2845.0,0,0,1,0,1
20,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2008,129500,2.0,2080.0,0,0,0,0,0
70,100.0,9670,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,Gable,40.0,TA,PConc,Y,4,1,TA,2.0,TA,Y,2008,257076,1.5,2481.0,207,1,1,1,1
50,60.0,10998,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,Gable,0.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2009,117000,2.0,2588.0,68,1,1,0,1
70,60.0,7200,Reg,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,Y,3,1,TA,1.0,TA,P,2008,149000,1.5,2278.0,112,1,1,0,1
20,80.0,9920,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,110.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2010,128000,2.0,2119.0,164,1,0,0,1
160,36.0,2448,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,Gable,106.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2008,155000,2.5,2390.0,27,1,1,0,1
160,69.0,2998,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,Gable,513.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2006,166000,2.5,2280.0,32,1,1,0,0
50,65.0,7804,Reg,Lvl,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,Gable,0.0,TA,BrkTil,Y,4,1,Gd,2.0,TA,Y,2009,135000,3.0,3103.0,475,1,1,1,1
60,80.0,16692,IR1,Lvl,Inside,Gtl,NWAmes,RRAn,1Fam,2Story,Gable,184.0,TA,CBlock,Y,5,1,Gd,2.0,TA,Y,2006,250000,4.5,4176.0,552,1,1,1,1
160,21.0,1476,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Twnhs,2Story,Gable,0.0,TA,CBlock,Y,3,1,TA,0.0,TA,Y,2010,76000,1.5,1638.0,226,1,1,0,0
20,75.0,10170,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,522.0,TA,CBlock,Y,2,1,Gd,2.0,TA,Y,2006,155000,1.5,1791.0,0,0,0,0,1
60,80.0,9364,Reg,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,2Story,Gable,143.0,TA,CBlock,Y,4,1,TA,1.0,TA,Y,2010,158000,1.5,2015.0,415,1,1,0,1
160,24.0,2544,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,Gable,0.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2010,149500,3.5,1800.0,172,1,1,0,0
20,82.0,9888,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2006,121000,1.0,1872.0,160,1,0,0,1
20,68.0,7942,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2007,136000,1.5,2080.0,0,0,0,0,1
60,69.0,15038,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2008,173000,2.5,2552.0,252,1,1,0,1
60,92.0,11764,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,Gable,348.0,Gd,PConc,Y,4,1,Gd,3.0,TA,Y,2010,290000,2.5,3422.0,189,1,1,0,1
60,75.0,9000,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,Gable,0.0,Gd,PConc,Y,4,1,Ex,2.0,TA,Y,2007,303477,2.5,3794.0,572,1,1,0,1
20,69.0,20062,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,Hip,0.0,Gd,CBlock,Y,1,1,TA,2.0,TA,Y,2010,270000,2.5,2903.0,496,1,0,1,1
50,81.0,7308,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1.5Fin,Gable,0.0,Fa,BrkTil,N,2,1,Ex,1.0,Fa,N,2008,122250,1.0,2676.0,236,1,1,0,1
20,70.0,8750,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,Gd,1.0,TA,Y,2009,153000,1.5,2764.0,280,1,0,0,1
20,70.0,8402,Reg,Lvl,Inside,Gtl,Mitchel,Feedr,1Fam,1Story,Gable,0.0,TA,PConc,Y,3,1,TA,0.0,TA,Y,2007,147000,1.0,2240.0,30,1,0,0,1
70,63.0,4000,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,Y,2,1,TA,1.0,TA,Y,2007,148500,2.0,1629.0,0,0,1,0,1
160,32.0,3363,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,2Story,Gable,117.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2006,130000,2.0,2684.0,40,1,1,0,1
20,94.0,13615,IR1,HLS,Corner,Mod,NridgHt,Norm,1Fam,1Story,Hip,510.0,Ex,PConc,Y,3,1,Ex,3.0,TA,Y,2007,372000,2.5,3604.0,263,1,0,0,1
120,43.0,3013,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,TwnhsE,1Story,Gable,145.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2006,213490,2.0,2868.0,162,1,0,0,1
20,44.0,17485,IR2,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,96.0,Gd,PConc,Y,1,1,Gd,2.0,TA,Y,2010,308030,2.0,3016.0,0,0,0,1,1
20,69.0,23730,IR2,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,Gable,668.0,Gd,PConc,Y,3,1,Gd,3.0,TA,Y,2008,300000,4.0,3872.0,238,1,0,0,1
20,79.0,8910,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2006,159500,1.5,1849.0,192,1,0,0,1
160,24.0,2522,Reg,Lvl,Inside,Gtl,Edwards,Norm,Twnhs,2Story,Gable,50.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2006,137500,2.0,2679.0,40,1,1,0,1
20,73.0,8688,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,Gable,228.0,Gd,PConc,Y,3,1,Gd,3.0,TA,Y,2006,232000,2.0,3232.0,267,1,0,0,1
30,69.0,6291,IR1,Lvl,Inside,Gtl,IDOTRR,RRNe,1Fam,1Story,Gable,0.0,Gd,BrkTil,Y,1,1,TA,2.0,TA,N,2008,93850,1.0,1536.0,84,1,0,0,1
30,69.0,17529,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,65.0,TA,BrkTil,N,2,1,Fa,1.0,Fa,N,2006,105000,1.0,1744.0,116,1,0,0,1
30,60.0,6324,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,Gable,0.0,TA,BrkTil,N,1,1,Fa,1.0,TA,Y,2008,68500,1.0,1040.0,136,1,0,0,1
90,80.0,11600,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Duplex,2Story,Gable,361.0,TA,CBlock,Y,5,2,TA,2.0,TA,Y,2010,154300,2.0,3379.0,0,0,1,0,1
50,50.0,7288,Reg,Lvl,Inside,Gtl,IDOTRR,Artery,1Fam,1.5Fin,Gable,0.0,Gd,BrkTil,Y,3,1,TA,0.0,TA,N,2007,129850,2.0,2537.0,176,1,1,0,1
70,35.0,4571,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,Y,3,1,TA,2.0,Fa,Y,2007,114000,1.0,1848.0,423,1,1,0,1
20,63.0,17423,IR1,Lvl,CulDSac,Gtl,StoneBr,Norm,1Fam,1Story,Hip,748.0,Ex,PConc,Y,1,1,Ex,3.0,TA,Y,2009,501837,3.0,4450.0,60,1,0,0,1
50,100.0,12665,IR1,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,Gable,0.0,TA,BrkTil,Y,4,1,TA,3.0,TA,Y,2008,153900,1.5,2292.0,612,1,1,0,1
20,60.0,9000,Reg,Lvl,FR2,Gtl,NAmes,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2009,130000,1.0,1728.0,200,1,0,0,0
120,32.0,4500,Reg,Lvl,FR2,Gtl,Mitchel,Norm,TwnhsE,1Story,Hip,197.0,TA,PConc,Y,2,1,TA,2.0,TA,Y,2008,160500,3.0,2378.0,122,1,0,0,0
120,48.0,6373,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,572.0,Ex,PConc,Y,2,1,Gd,2.0,TA,Y,2006,310090,3.0,3332.0,303,1,0,0,1
20,67.0,10083,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1Story,Gable,0.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2009,184900,3.0,2376.0,41,1,0,0,1
20,70.0,13300,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2007,132000,1.0,1856.0,417,1,0,0,0
20,80.0,9600,Reg,Lvl,Inside,Gtl,NWAmes,Feedr,1Fam,1Story,Gable,128.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2009,163000,2.5,2624.0,323,1,0,0,1
160,30.0,3215,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,Gable,120.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2010,155000,2.5,1800.0,172,1,1,0,0
80,69.0,11104,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,SLvl,Gable,0.0,TA,CBlock,Y,4,1,TA,2.0,TA,Y,2008,183000,2.5,2854.0,216,1,0,0,1
60,69.0,15295,IR3,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,2Story,Gable,254.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2007,211000,3.5,2852.0,257,1,1,1,1
60,70.0,9109,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,2Story,Gable,0.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2009,184000,3.5,2294.0,172,1,1,0,1
80,69.0,14112,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,SLvl,Hip,86.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2010,180500,2.0,2304.0,227,1,0,0,1
120,80.0,3523,IR1,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,1Story,Gable,30.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2007,166000,3.0,2292.0,60,1,0,0,1
80,88.0,15312,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,SLvl,Hip,54.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2009,148000,1.5,2276.0,140,1,0,0,1
20,74.0,7450,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,2,1,Gd,2.0,TA,Y,2007,124000,1.0,1968.0,72,1,0,0,1
120,60.0,7313,Reg,Lvl,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,Hip,246.0,Ex,PConc,Y,2,1,Ex,2.0,TA,Y,2007,277500,3.0,3122.0,250,1,0,0,1
60,83.0,10019,IR1,Lvl,Inside,Gtl,NoRidge,Norm,1Fam,2Story,Hip,397.0,Gd,PConc,Y,4,1,Gd,3.0,TA,Y,2006,350000,2.5,4068.0,644,1,1,0,1
20,53.0,15401,IR1,HLS,CulDSac,Gtl,StoneBr,Norm,1Fam,1Story,Hip,296.0,Ex,PConc,Y,2,1,Ex,3.0,TA,Y,2008,387000,3.0,3768.0,290,1,0,0,1
30,58.0,9098,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,0.0,TA,BrkTil,Y,2,1,TA,0.0,TA,N,2007,86000,2.0,1133.0,144,1,0,0,1
20,103.0,16280,Reg,Lvl,Inside,Gtl,Veenker,Norm,1Fam,1Story,Gable,0.0,Ex,CBlock,Y,3,1,Ex,2.0,TA,Y,2008,290000,4.0,3097.0,370,1,0,0,1
30,72.0,9392,Reg,Lvl,Corner,Gtl,IDOTRR,Norm,1Fam,1Story,Mansard,0.0,TA,CBlock,N,2,1,TA,0.0,TA,N,2009,44000,1.0,1042.0,130,1,0,0,1
60,71.0,12209,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,Gd,2.0,TA,Y,2009,215000,3.5,2765.0,317,1,1,0,1
190,79.0,13110,IR1,Lvl,Corner,Gtl,NWAmes,RRAn,2fmCon,1Story,Gable,144.0,TA,CBlock,Y,2,1,TA,2.0,TA,Y,2006,146500,3.0,2346.0,293,1,0,0,1
160,69.0,2651,Reg,Lvl,FR2,Gtl,Somerst,Norm,Twnhs,2Story,Gable,0.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2006,165000,3.5,2055.0,203,1,1,0,1
50,60.0,8520,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,Gable,0.0,TA,BrkTil,N,5,1,Gd,1.0,TA,Y,2007,136000,2.0,3240.0,103,1,1,0,1
20,69.0,39384,IR1,Low,CulDSac,Sev,NAmes,Norm,1Fam,1Story,Gable,902.0,TA,CBlock,Y,1,1,Ex,2.0,TA,Y,2006,252000,2.5,3095.0,189,1,0,1,1
160,36.0,2628,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,Gable,106.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2010,175500,2.5,2390.0,27,1,1,0,1
70,57.0,6406,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,Y,3,1,TA,2.0,TA,Y,2009,150000,1.5,2248.0,218,1,1,0,1
20,69.0,12342,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,0.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2007,139900,1.0,2400.0,36,1,0,0,1
50,52.0,6240,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,P,2008,162900,2.0,2651.0,0,0,1,0,1
20,87.0,10000,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,Hip,261.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2010,160000,1.5,2232.0,385,1,0,0,0
20,80.0,11088,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,Gable,144.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2009,184000,2.0,2847.0,0,0,0,0,1
20,134.0,17755,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,132.0,TA,CBlock,Y,3,1,Fa,2.0,TA,Y,2006,149900,1.5,2932.0,240,1,0,1,1
120,69.0,4765,IR1,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,1Story,Hip,260.0,Gd,PConc,Y,2,1,Ex,2.0,TA,Y,2008,300000,3.0,3252.0,298,1,0,0,1
190,69.0,10532,Reg,Lvl,Corner,Gtl,ClearCr,Norm,1Fam,1Story,Flat,275.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2008,145000,3.0,2709.0,134,1,0,1,1
60,65.0,15426,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,Gd,2.0,TA,Y,2009,231500,3.5,2692.0,375,1,1,0,1
30,63.0,13907,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,TA,0.0,TA,Y,2008,108000,2.0,1992.0,144,1,0,0,1
20,70.0,8750,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,TA,1.0,TA,Y,2009,120000,1.5,2404.0,155,1,0,0,1
20,69.0,9945,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Hip,57.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2007,128500,2.0,1976.0,0,0,0,0,0
30,56.0,8960,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1Story,Gable,0.0,TA,CBlock,Y,2,1,TA,2.0,TA,Y,2010,115000,1.0,2036.0,130,1,0,0,1
50,50.0,3500,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,Gable,0.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2009,110000,1.5,2004.0,35,1,1,0,1
60,69.0,24572,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,1Fam,2Story,Mansard,1050.0,Gd,CBlock,Y,3,1,Gd,3.0,TA,Y,2008,150000,3.0,3938.0,226,1,1,0,1
60,74.0,9056,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,Gable,0.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2006,178000,2.5,2121.0,135,1,1,0,1
70,70.0,12320,IR1,HLS,Inside,Gtl,Crawfor,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,Y,3,1,Gd,3.0,TA,Y,2006,199500,1.5,2246.0,104,1,1,1,1
